University/College,Course Name,Level,Full-time/Part-time,Mode of Study,Location,Fee (/year),Duration
University of Melbourne,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of Adelaide,Bachelor of Biotechnology,Bachelor,Full-time,On Campus,"Adelaide, South Australia",31000,3
Edith Cowan University,Bachelor of Arts (Psychology),Bachelor,Full-time,On Campus,"Perth, Western Australia",29000,3
University of New England,Bachelor of Agriculture,Bachelor,Full-time,On Campus,"Armidale, New South Wales",30000,3
University of Notre Dame Australia,Bachelor of Commerce,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
CQUniversity,Bachelor of Occupational Therapy,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",32000,4
Murdoch University,Bachelor of Cybersecurity,Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
Federation University,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Ballarat, Victoria",29000,3
RMIT University,Bachelor of Engineering (Electrical),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,4
Western Sydney University,Bachelor of Social Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",29000,3
University of Queensland,Bachelor of Wildlife Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
Bond University,Bachelor of International Relations,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",29000,3
Curtin University,Bachelor of Civil Engineering,Bachelor,Full-time,On Campus,"Perth, Western Australia",35000,4
University of New South Wales,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
University of Sydney,Bachelor of Advanced Computing,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,4
University of Melbourne,Bachelor of Fine Arts,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Canberra,Bachelor of Medical Radiation Science,Bachelor,Full-time,On Campus,"Canberra, ACT",30000,4
Flinders University,Bachelor of Creative Arts (Drama),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29000,3
James Cook University,Bachelor of Marine Biology,Bachelor,Full-time,On Campus,"Townsville, Queensland",32000,3
University of Tasmania,Bachelor of Environmental Design,Bachelor,Full-time,On Campus,"Hobart, Tasmania",29000,3
University of South Australia,Bachelor of Business (Marketing),Bachelor,Full-time,On Campus,"Adelaide, South Australia",30000,3
Griffith University,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",29000,4
Victoria University,Bachelor of Sport and Recreation Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria",31000,3
Southern Cross University,Bachelor of Contemporary Music,Bachelor,Full-time,On Campus,"Lismore, New South Wales",28000,3
University of Newcastle,Bachelor of Medical Science,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",32000,4
Macquarie University,Bachelor of Social Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",30000,3
University of Western Australia,Bachelor of Agricultural Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
University of Notre Dame Australia,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
CQUniversity,Bachelor of Emergency Management,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",28000,3
RMIT University,Bachelor of Business (Accountancy),Bachelor,Full-time,On Campus,"Melbourne, Victoria",31000,3
Murdoch University,Bachelor of Forensic Biology and Toxicology,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
Federation University,Bachelor of Performing Arts,Bachelor,Full-time,On Campus,"Ballarat, Victoria",29000,3
Edith Cowan University,Bachelor of Sport and Exercise Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",30000,3
University of Southern Queensland,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",29000,3
University of Adelaide,Bachelor of Medicine and Surgery,Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,5
University of Technology Sydney,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
La Trobe University,Bachelor of Media and Communication,Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
Bond University,Bachelor of Sport Management,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",30000,3
University of Queensland,Bachelor of Agribusiness,Bachelor,Full-time,On Campus,"Brisbane, Queensland",31000,3
Southern Cross University,Bachelor of Arts (Honours),Bachelor,Full-time,On Campus,"Lismore, New South Wales",28000,3
Australian National University,Bachelor of Arts (Honours),Bachelor,Full-time,On Campus,"Canberra, ACT",33000,4
Curtin University,Bachelor of Health Sciences,Bachelor,Full-time,On Campus,"Perth, Western Australia",30000,3
University of Sydney,Bachelor of Liberal Arts and Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
University of Melbourne,Bachelor of Oral Health,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of New South Wales,Bachelor of Data Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of Queensland,Bachelor of Environmental Management,Bachelor,Full-time,On Campus,"Brisbane, Queensland",31000,3
Bond University,Bachelor of Sustainable Environments and Planning,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",32000,3
James Cook University,Bachelor of Psychological Science,Bachelor,Full-time,On Campus,"Townsville, Queensland",30000,3
La Trobe University,Bachelor of Occupational Therapy,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,4
University of Adelaide,Bachelor of Viticulture and Oenology,Bachelor,Full-time,On Campus,"Adelaide, South Australia",31000,4
University of Canberra,Bachelor of Public Health,Bachelor,Full-time,On Campus,"Canberra, ACT",29000,3
Flinders University,Bachelor of Disability and Developmental Education,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29000,4
Edith Cowan University,Bachelor of Arts (Visual Arts),Bachelor,Full-time,On Campus,"Perth, Western Australia",28000,3
University of Southern Queensland,Bachelor of Urban and Regional Planning,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",29000,4
University of Newcastle,Bachelor of Construction Management (Building) (Honours),Bachelor,Full-time,On Campus,"Newcastle, New South Wales",31000,4
Murdoch University,Bachelor of Sports and Exercise Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",30000,3
Victoria University,Bachelor of Tourism and Hospitality Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria",31000,3
University of New England,Bachelor of Science,Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,3
CQUniversity,Bachelor of Digital Media,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",29000,3
RMIT University,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Melbourne, Victoria",30000,4
Southern Cross University,Bachelor of Marine Science,Bachelor,Full-time,On Campus,"Lismore, New South Wales",29000,3
University of Notre Dame Australia,Bachelor of Science (Physiotherapy),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,4
Griffith University,Bachelor of Science (Forensic Science),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",31000,3
University of Tasmania,Bachelor of Fine Arts,Bachelor,Full-time,On Campus,"Hobart, Tasmania",29000,3
University of South Australia,Bachelor of Business (Sport and Recreation Management),Bachelor,Full-time,On Campus,"Adelaide, South Australia",30000,3
University of Western Australia,Bachelor of Music,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
Deakin University,Bachelor of Commerce (Marketing),Bachelor,Full-time,On Campus,"Melbourne, Victoria",31000,3
University of Technology Sydney,Bachelor of Business (Management),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Bond University,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",33000,3
University of Melbourne,Bachelor of Arts (Psychology),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Australian National University,Bachelor of Economics,Bachelor,Full-time,On Campus,"Canberra, ACT",34000,3
Curtin University,Bachelor of Arts (Journalism),Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
University of Sydney,Bachelor of Veterinary Biology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,5
University of Queensland,Bachelor of Engineering (Mechanical),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,4
Bond University,Bachelor of Laws,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",36000,4
University of Western Australia,Bachelor of Commerce (Finance),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
James Cook University,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Townsville, Queensland",32000,3
Flinders University,Bachelor of Business (Economics),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29000,3
University of Tasmania,Bachelor of Law and Justice Studies,Bachelor,Full-time,On Campus,"Hobart, Tasmania",32000,4
Victoria University,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Macquarie University,Bachelor of Environment,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
University of Canberra,Bachelor of Sport and Exercise Science,Bachelor,Full-time,On Campus,"Canberra, ACT",31000,3
Griffith University,Bachelor of Film and Screen Media Production,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",29000,3
Southern Cross University,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Lismore, New South Wales",29000,3
Edith Cowan University,Bachelor of Commerce (Management),Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
Murdoch University,Bachelor of Cyber Forensics and Information Security,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
RMIT University,Bachelor of Engineering (Civil and Infrastructure),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,4
University of New South Wales,Bachelor of Aviation (Flying),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of Melbourne,Bachelor of Food Science and Nutrition,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
University of Newcastle,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",31000,4
University of Queensland,Bachelor of Computer Science (Cyber Security),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
La Trobe University,Bachelor of Law (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,4
University of Southern Queensland,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
University of Western Australia,Bachelor of Science (Psychology),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
Flinders University,Bachelor of Creative Arts (Visual Arts),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29000,3
University of Notre Dame Australia,Bachelor of Philosophy (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
CQUniversity,Bachelor of Engineering (Electrical),Bachelor,Full-time,On Campus,"Rockhampton, Queensland",31000,4
University of Technology Sydney,Bachelor of Science (Environmental Biology),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Southern Cross University,Bachelor of Nursing (Honours),Bachelor,Full-time,On Campus,"Lismore, New South Wales",28000,3
Curtin University,Bachelor of Physiotherapy,Bachelor,Full-time,On Campus,"Perth, Western Australia",35000,4
Australian National University,Bachelor of Advanced Computing (Honours),Bachelor,Full-time,On Campus,"Canberra, ACT",36000,4
University of Sydney,Bachelor of Health Science (Physiotherapy),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,4
University of Queensland,Bachelor of Mathematics,Bachelor,Full-time,On Campus,"Brisbane, Queensland",33000,3
Bond University,Bachelor of Actuarial Science,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",32000,3
James Cook University,Bachelor of Marine Science,Bachelor,Full-time,On Campus,"Townsville, Queensland",32000,3
University of Adelaide,Bachelor of Medical Science,Bachelor,Full-time,On Campus,"Adelaide, South Australia",34000,3
University of Canberra,Bachelor of Design (Visual Communication),Bachelor,Full-time,On Campus,"Canberra, ACT",29000,3
Curtin University,Bachelor of Commerce (Accounting),Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
University of Tasmania,Bachelor of Medical Research,Bachelor,Full-time,On Campus,"Hobart, Tasmania",30000,3
Griffith University,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",30000,3
Victoria University,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
University of Notre Dame Australia,Bachelor of Business Administration,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
Flinders University,Bachelor of Information Technology(BIT) (Network and Cybersecurity Systems),Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
University of Western Australia,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Newcastle,Bachelor of Business (Entrepreneurship),Bachelor,Full-time,On Campus,"Newcastle, New South Wales",29000,3
Macquarie University,Bachelor of Global Business,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of Southern Queensland,Bachelor of Aviation (Flight Operations),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",33000,3
Murdoch University,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
University of South Australia,Bachelor of Design (Product Design),Bachelor,Full-time,On Campus,"Adelaide, South Australia",30000,3
Edith Cowan University,Bachelor of Computer Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
CQUniversity,Bachelor of Public Health,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",28000,3
Southern Cross University,Bachelor of Arts (Creative Writing),Bachelor,Full-time,On Campus,"Lismore, New South Wales",28000,3
RMIT University,Bachelor of Media and Communication,Bachelor,Full-time,On Campus,"Melbourne, Victoria",31000,3
University of Technology Sydney,Bachelor of Data Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
La Trobe University,Bachelor of Sport and Exercise Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",31000,3
University of Queensland,Bachelor of Occupational Therapy,Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,4
Bond University,Bachelor of Film and Television,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",33000,3
University of Sydney,Bachelor of Health Sciences,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Australian National University,Bachelor of International Security Studies,Bachelor,Full-time,On Campus,"Canberra, ACT",33000,3
Curtin University,Bachelor of Creative Arts,Bachelor,Full-time,On Campus,"Perth, Western Australia",30000,3
University of Melbourne,Bachelor of Commerce (Management),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of New South Wales,Bachelor of Science (Biotechnology),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of Queensland,Bachelor of Agricultural Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland",31000,3
Bond University,Bachelor of Property,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",32000,3
James Cook University,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Townsville, Queensland",29000,4
Flinders University,Bachelor of Biotechnology,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
University of Adelaide,Bachelor of Science (Biomedical Science),Bachelor,Full-time,On Campus,"Adelaide, South Australia",33000,3
University of Canberra,Bachelor of Business (International Business),Bachelor,Full-time,On Campus,"Canberra, ACT",30000,3
Curtin University,Bachelor of Advanced Science (Honours),Bachelor,Full-time,On Campus,"Perth, Western Australia",35000,4
University of Tasmania,Bachelor of Marine Engineering,Bachelor,Full-time,On Campus,"Hobart, Tasmania",33000,4
University of Western Australia,Bachelor of Music (Performance),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of New England,Bachelor of Business,Bachelor,Full-time,On Campus,"Armidale, New South Wales",29000,3
Southern Cross University,Bachelor of Early Childhood Education,Bachelor,Full-time,On Campus,"Lismore, New South Wales",28000,4
University of Notre Dame Australia,Bachelor of Counselling,Bachelor,Full-time,On Campus,"Sydney, New South Wales",30000,3
CQUniversity,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",29000,4
RMIT University,Bachelor of Applied Science (Property and Valuation),Bachelor,Full-time,On Campus,"Melbourne, Victoria",31000,3
Griffith University,Bachelor of Environmental Science (Honours),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",31000,4
Murdoch University,Bachelor of Health Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",29000,3
University of Newcastle,Bachelor of Construction Management,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",31000,4
Macquarie University,Bachelor of Ancient History,Bachelor,Full-time,On Campus,"Sydney, New South Wales",30000,3
University of Technology Sydney,Bachelor of Communication (Public Communication),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
University of Southern Queensland,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,4
University of South Australia,Bachelor of Science (Nutritional Science),Bachelor,Full-time,On Campus,"Adelaide, South Australia",30000,3
Victoria University,Bachelor of Outdoor Education and Environmental Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",31000,3
Flinders University,Bachelor of Arts (English Literature),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29000,3
University of Melbourne,Bachelor of Agriculture,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Bond University,Bachelor of Exercise and Sports Performance,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",32000,3
Edith Cowan University,Bachelor of Media and Communications,Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
Curtin University,Bachelor of Science (Environmental Engineering),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,4
University of Queensland,Bachelor of Laws (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",35000,4
University of New South Wales,Bachelor of Science (Advanced Mathematics),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of Western Australia,Bachelor of Computer Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Southern Queensland,Bachelor of Information and Communications Technology,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",29000,3
University of Adelaide,Bachelor of Psychological Science,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
Flinders University,Bachelor of Arts (History),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29000,3
Griffith University,Bachelor of Commerce (Finance),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",30000,3
University of Melbourne,Bachelor of Design (Architecture),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Murdoch University,Bachelor of Communication (Journalism),Bachelor,Full-time,On Campus,"Perth, Western Australia",29000,3
Victoria University,Bachelor of Criminal Justice,Bachelor,Full-time,On Campus,"Melbourne, Victoria",30000,3
Curtin University,Bachelor of Pharmacy,Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,4
University of Queensland,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
University of Technology Sydney,Bachelor of Data Analytics,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Southern Cross University,Bachelor of Education (Early Childhood),Bachelor,Full-time,On Campus,"Lismore, New South Wales",28000,4
University of Newcastle,Bachelor of Chemical Engineering,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",31000,4
University of Notre Dame Australia,Bachelor of Primary Education,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,4
Bond University,Bachelor of Health Sciences,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",33000,3
University of Canberra,Bachelor of Commerce (Human Resource Management),Bachelor,Full-time,On Campus,"Canberra, ACT",30000,3
James Cook University,Bachelor of Dental Surgery,Bachelor,Full-time,On Campus,"Cairns, Queensland",36000,5
RMIT University,Bachelor of Design (Animation),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Tasmania,Bachelor of Economics,Bachelor,Full-time,On Campus,"Hobart, Tasmania",30000,3
Australian National University,Bachelor of Public Policy,Bachelor,Full-time,On Campus,"Canberra, ACT",33000,3
University of South Australia,Bachelor of Medical Radiation Science (Nuclear Medicine),Bachelor,Full-time,On Campus,"Adelaide, South Australia",33000,4
University of Melbourne,Bachelor of Fine Arts (Visual Art),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
CQUniversity,Bachelor of Emergency Services,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",29000,3
Griffith University,Bachelor of Music (Classical Performance),Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
Flinders University,Bachelor of Languages,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29000,3
University of Western Australia,Bachelor of Science (Neuroscience),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
Macquarie University,Bachelor of Business Leadership,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
University of Queensland,Bachelor of Environmental Management,Bachelor,Full-time,On Campus,"Brisbane, Queensland",33000,3
Southern Cross University,Bachelor of Social Science,Bachelor,Full-time,On Campus,"Lismore, New South Wales",28000,3
University of Sydney,Bachelor of Economics,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of Southern Queensland,"Bachelor of Creative Arts (Film, Television, and Radio)",Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
University of Adelaide,Bachelor of Health and Medical Sciences,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
University of Melbourne,Bachelor of Music (Musicology/Ethnomusicology),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Australian National University,Bachelor of International Relations,Bachelor,Full-time,On Campus,"Canberra, ACT",33000,3
Curtin University,Bachelor of Science (Exercise and Sports Science),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of New South Wales,Bachelor of Commerce (Finance),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Bond University,Bachelor of Sports Management,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",32000,3
Macquarie University,Bachelor of Science (Environmental Earth Science),Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
James Cook University,Bachelor of Engineering (Honours),Bachelor,Full-time,On Campus,"Townsville, Queensland",34000,4
Flinders University,Bachelor of Media Arts,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29000,3
University of Tasmania,Bachelor of Environmental Design (Interior Architecture),Bachelor,Full-time,On Campus,"Hobart, Tasmania",31000,3
Victoria University,Bachelor of Science (Biotechnology),Bachelor,Full-time,On Campus,"Melbourne, Victoria",30000,3
University of Notre Dame Australia,Bachelor of Laws (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,4
University of Queensland,Bachelor of Science (Environmental Science),Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
Murdoch University,Bachelor of Forensic Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
University of Canberra,Bachelor of Event and Tourism Management,Bachelor,Full-time,On Campus,"Canberra, ACT",30000,3
Griffith University,Bachelor of Digital Media,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",31000,3
University of Technology Sydney,Bachelor of Science (Biomedical Science),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Curtin University,Bachelor of Commerce (Marketing),Bachelor,Full-time,On Campus,"Perth, Western Australia",31000,3
University of New England,Bachelor of Exercise and Sports Science,Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,3
University of Melbourne,Bachelor of Fine Arts (Dance),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of Western Australia,Bachelor of Biotechnology,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Southern Queensland,Bachelor of Construction Management,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,4
Bond University,Bachelor of Global Studies (Sustainability),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",32000,3
Flinders University,Bachelor of Engineering (Mechanical),Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,4
University of Sydney,Bachelor of Design in Architecture,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
James Cook University,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Townsville, Queensland",29000,4
University of Tasmania,Bachelor of Social Science (Police Studies),Bachelor,Full-time,On Campus,"Hobart, Tasmania",29000,3
University of Queensland,Bachelor of Criminology and Criminal Justice,Bachelor,Full-time,On Campus,"Brisbane, Queensland",33000,3
Curtin University,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,4
University of New South Wales,Bachelor of Design (Interior Architecture),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of Adelaide,Bachelor of Commerce (International Business),Bachelor,Full-time,On Campus,"Adelaide, South Australia",33000,3
Victoria University,Bachelor of Laws (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,4
University of Western Australia,Bachelor of Engineering (Honours),Bachelor,Full-time,On Campus,"Perth, Western Australia",35000,4
Flinders University,Bachelor of Education (Early Childhood),Bachelor,Full-time,On Campus,"Adelaide, South Australia",31000,4
James Cook University,Bachelor of Arts (Politics and International Relations),Bachelor,Full-time,On Campus,"Townsville, Queensland",30000,3
University of Sydney,Bachelor of Medical Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Australian National University,Bachelor of Science (Advanced),Bachelor,Full-time,On Campus,"Canberra, ACT",34000,3
Murdoch University,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Perth, Western Australia",30000,4
University of New England,Bachelor of Agricultural and Resource Economics,Bachelor,Full-time,On Campus,"Armidale, New South Wales",29000,3
Bond University,Bachelor of International Relations,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",33000,3
CQUniversity,Bachelor of Occupational Health and Safety,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",29000,3
University of Technology Sydney,Bachelor of Mechanical Engineering,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,4
