Edith Cowan University,Arts and Advanced Studies (Dalyell Scholars),Bachelor,"Full-time, Part-time",On Campus,"Canberra, Australian Capital Territory, Australia","16,323",3
University of Sydney,Chemistry - Teaching (Secondary),Bachelor,"Full-time, Part-time",On Campus,"Brisbane, Queensland, Australia","9,300",3
Queensland University of Technology,Nursing (Enrolled Nurse),Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","5,210",3
Queensland University of Technology,Creative Writing,B.A.,"Full-time, Part-time",On Campus,"Adelaide, South Australia, Australia","11,760",3
Murdoch University,International Relations (with Year in Asia),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","50,500",3
Edith Cowan University,Design - Property,Bachelor,"Full-time, Part-time",On Campus,"Melbourne, Victoria, Australia","45,777",3
University of Sydney,Artificial Intelligence and Big Data,Bachelor,"Full-time, Part-time",On Campus,"Melbourne, Victoria, Australia","36,672",3
University of Melbourne,Business,Bachelor,"Full-time, Part-time",On Campus,"Melbourne, Victoria, Australia","16,131",3
University of Wollongong,Business Administration,Bachelor,"Full-time, Part-time",On Campus,"Melbourne, Victoria, Australia","16,323",3
Deakin University,Economics and Finance,Bachelor,Full-time,On Campus,"Geelong, Victoria, Australia","21,105",3
RMIT University,Civil Engineering,B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","35,450",3
Monash University,Architecture,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","44,000",3
University of Queensland,Economics,B.Sc.,Full-time,On Campus,"Brisbane, Queensland, Australia","24,200",3
University of Newcastle,Environmental Science,Bachelor,"Full-time, Part-time",On Campus,"Newcastle, New South Wales, Australia","22,100",3
University of Western Australia,Sports Management,Bachelor,"Full-time, Part-time",On Campus,"Perth, Western Australia, Australia","17,000",3
Victoria University,Computer Science,Bachelor,"Full-time, Part-time",On Campus,"Melbourne, Victoria, Australia","29,000",3
University of Southern Queensland,Veterinary Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","42,000",3
La Trobe University,International Business,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","25,100",3
University of Melbourne,Data Science,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","14,000",3
Australian National University,Tourism and Hospitality,Bachelor,"Full-time, Part-time",On Campus,"Canberra, Australian Capital Territory, Australia","28,500",3
Queensland University of Technology,Psychology,Bachelor,"Full-time, Part-time",On Campus,"Brisbane, Queensland, Australia","21,100",3
University of Adelaide,Architecture (Honours),Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","39,950",3
Monash University,Law and Criminal Justice,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","42,500",3
University of Queensland,Business Economics,Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","30,000",3
University of Sydney,Sociology,Bachelor,"Full-time, Part-time",On Campus,"Sydney, New South Wales, Australia","35,200",3
University of Melbourne,Urban Planning,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,100",3
University of Wollongong,Mathematics and Statistics,B.Sc.,Full-time,On Campus,"Wollongong, New South Wales, Australia","28,000",3
Queensland University of Technology,Clinical Psychology,Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","50,000",3
University of Southern Queensland,Counseling,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","25,000",3
University of New South Wales,Biomedical Science,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","30,500",3
RMIT University,Fashion Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","29,000",3
University of Newcastle,Medical Radiation Science,B.Sc.,Full-time,On Campus,"Newcastle, New South Wales, Australia","22,500",3
Swinburne University of Technology,Engineering Management,B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,200",3
University of Canberra,Digital Arts,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","32,000",3
University of Sydney,Data Engineering,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,500",3
Western Sydney University,Building Construction Management,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","20,500",3
Victoria University,Public Health,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","18,000",3
University of Tasmania,Environmental Science,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","25,300",3
University of Western Australia,Agriculture,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","34,000",3
Griffith University,Film and Television,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","36,500",3
Bond University,Finance and Investment,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","38,100",3
University of Technology Sydney,Journalism,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
University of Queensland,Environmental Science (Hons),B.Sc.,Full-time,On Campus,"Brisbane, Queensland, Australia","32,000",3
University of Sydney,Computer Science,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,500",3
Monash University,Chemical Engineering,B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","34,200",3
University of Melbourne,Architecture,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
Queensland University of Technology,Business (Economics),Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","29,500",3
Australian National University,Anthropology,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","28,200",3
La Trobe University,Nursing,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Southern Queensland,Criminal Justice,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","24,800",3
Griffith University,Film Production,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","35,000",3
University of Western Australia,Marine Biology,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","27,500",3
University of Technology Sydney,Information Systems,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","36,100",3
Victoria University,Sports Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","25,300",3
Bond University,Law and Society,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","32,000",3
University of Newcastle,Health Science,B.Sc.,Full-time,On Campus,"Newcastle, New South Wales, Australia","28,500",3
University of Tasmania,Media Arts,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","33,200",3
RMIT University,Digital Media,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
Swinburne University of Technology,Physics,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","29,200",3
University of Canberra,Human Resource Management,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","27,500",3
University of Wollongong,Marketing,Bachelor,Full-time,On Campus,"Wollongong, New South Wales, Australia","36,000",3
Macquarie University,Economics and Law,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","34,000",3
University of Sydney,Physics,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Melbourne,Economics,B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
Monash University,Civil Engineering,B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","34,700",3
University of Queensland,Environmental Science,B.Sc.,Full-time,On Campus,"Brisbane, Queensland, Australia","29,000",3
University of New South Wales,Architecture (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
Australian National University,Computer Science,B.Sc.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,000",3
University of Tasmania,Health Science,B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","28,300",3
University of Southern Queensland,Veterinary Medicine,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","35,500",3
Griffith University,Business and Law,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","34,000",3
University of Western Australia,Marine Biology,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","27,000",3
University of Technology Sydney,Digital Marketing,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","30,500",3
Victoria University,Sports Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
Bond University,Film and Television,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","35,500",3
University of Newcastle,Psychology,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","29,200",3
University of Canberra,Human Resource Management,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","28,700",3
Macquarie University,Biochemistry,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
RMIT University,Nursing,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","29,300",3
Swinburne University of Technology,Data Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","33,100",3
University of Adelaide,Media and Communication,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","28,600",3
Western Sydney University,Accounting,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","27,500",3
University of Sydney,Pharmacy,B.Pharm.,Full-time,On Campus,"Sydney, New South Wales, Australia","35,500",3
University of Queensland,Environmental Engineering,B.Eng.,Full-time,On Campus,"Brisbane, Queensland, Australia","33,000",3
University of Melbourne,Biotechnology,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","29,800",3
Monash University,Mechanical Engineering,B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","34,500",3
University of Western Australia,Computer Science,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","28,500",3
Griffith University,Journalism,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","27,500",3
RMIT University,Architecture,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Technology Sydney,Media Studies,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","29,000",3
Australian National University,Philosophy,B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","28,500",3
Macquarie University,Accounting,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
La Trobe University,Social Work,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Tasmania,Environmental Law,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","29,500",3
University of Canberra,Digital Arts,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,000",3
Swinburne University of Technology,Film and Television,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","34,000",3
University of Newcastle,Information Technology,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","31,000",3
University of Adelaide,Anthropology,B.A.,Full-time,On Campus,"Adelaide, South Australia, Australia","27,500",3
University of Southern Queensland,Veterinary Medicine,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","35,000",3
Victoria University,Sports Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
Bond University,Finance,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","36,500",3
Western Sydney University,Construction Management,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
University of Queensland,Mechanical Engineering,B.Eng.,Full-time,On Campus,"Brisbane, Queensland, Australia","35,500",3
University of Sydney,Architecture,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
Monash University,Computer Science,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Melbourne,Law,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","36,000",3
Griffith University,Business (Finance),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,000",3
Australian National University,Environmental Studies,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,500",3
RMIT University,Fashion Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","29,500",3
University of Technology Sydney,Data Analytics,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Adelaide,Digital Marketing,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","30,500",3
La Trobe University,Health Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","28,000",3
University of Western Australia,Economics,B.A.,Full-time,On Campus,"Perth, Western Australia, Australia","34,000",3
Macquarie University,Marketing,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","29,500",3
Victoria University,Journalism,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","28,500",3
Bond University,Public Relations,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","33,500",3
University of Newcastle,Sports Management,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","35,000",3
Swinburne University of Technology,Physics,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Southern Queensland,Veterinary Science,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","35,500",3
University of Tasmania,Marine Biology,B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","28,000",3
University of Canberra,Human Resource Management,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
Western Sydney University,Accounting and Finance,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","29,000",3
University of Sydney,Engineering,B.Eng.,Full-time,On Campus,"Sydney, New South Wales, Australia","34,000",3
University of Queensland,Law,Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","32,500",3
Monash University,Nursing,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","28,000",3
University of Melbourne,Business,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","36,500",3
Griffith University,Digital Media,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,000",3
Australian National University,Environmental Science,B.Sc.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","27,500",3
RMIT University,Art and Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Technology Sydney,Data Science,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","29,500",3
University of Adelaide,Accounting,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","30,000",3
La Trobe University,Finance,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","28,000",3
University of Western Australia,Marine Biology,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","29,500",3
Macquarie University,Information Systems,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
Victoria University,Health Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","27,500",3
Bond University,Economics,B.A.,Full-time,On Campus,"Gold Coast, Queensland, Australia","34,500",3
University of Newcastle,Journalism,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","32,000",3
Swinburne University of Technology,Marketing,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Southern Queensland,Biotechnology,B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","35,000",3
University of Tasmania,Environmental Law,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","28,500",3
University of Canberra,Anthropology,B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","33,000",3
Western Sydney University,Public Health,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","29,000",3
University of Queensland,Health Sciences,Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","33,500",3
University of Sydney,Law and Society,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
Monash University,Film Studies,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Melbourne,Environmental Engineering,B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","34,200",3
Griffith University,Digital Communication,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","28,000",3
Australian National University,Business Administration,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","35,000",3
RMIT University,Creative Writing,B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","29,500",3
University of Technology Sydney,Fashion Technology,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Adelaide,Journalism,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","33,000",3
La Trobe University,Criminal Justice,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","27,500",3
University of Western Australia,Anthropology,B.A.,Full-time,On Campus,"Perth, Western Australia, Australia","28,500",3
Macquarie University,Physics,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
Victoria University,Public Health,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
Bond University,Psychology,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,000",3
University of Newcastle,Marine Science,B.Sc.,Full-time,On Campus,"Newcastle, New South Wales, Australia","34,500",3
Swinburne University of Technology,Data Analytics,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
University of Southern Queensland,Marketing,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","32,500",3
University of Tasmania,Environmental Science,B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","30,000",3
University of Canberra,Media Studies,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","28,500",3
Western Sydney University,Accounting,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","29,000",3
University of Sydney,Philosophy,B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Queensland,Environmental Science,B.Sc.,Full-time,On Campus,"Brisbane, Queensland, Australia","34,000",3
Monash University,Civil Engineering,B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","36,500",3
University of Melbourne,Law,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","35,000",3
Griffith University,Creative Arts,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","29,500",3
RMIT University,Mechanical Engineering,B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Technology Sydney,Psychology,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Adelaide,Public Health,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","30,000",3
La Trobe University,Business Administration,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","28,500",3
University of Western Australia,Marine Science,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","34,500",3
Macquarie University,Accounting,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
Victoria University,Human Resource Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","28,500",3
Bond University,Digital Media,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","32,500",3
University of Newcastle,Journalism,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","33,500",3
Swinburne University of Technology,Economics,B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","29,500",3
University of Southern Queensland,Nursing,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","32,000",3
University of Tasmania,Environmental Law,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","27,500",3
University of Canberra,Film Studies,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","29,500",3
University of Queensland,Engineering (Honours),B.Eng.,Full-time,On Campus,"Brisbane, Queensland, Australia","33,000",3
University of Sydney,Business Economics,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
Monash University,Sociology,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","34,500",3
University of Melbourne,Physics,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
Griffith University,Marine Biology,B.Sc.,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Digital Media,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","29,500",3
RMIT University,Architecture,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Technology Sydney,Biomedical Science,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","28,500",3
University of Adelaide,Creative Arts,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","35,000",3
La Trobe University,Public Health,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","29,000",3
University of Western Australia,Economics,B.A.,Full-time,On Campus,"Perth, Western Australia, Australia","30,000",3
Macquarie University,Information Technology,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
Victoria University,Journalism,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
Bond University,Media Studies,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","33,000",3
University of Newcastle,Psychology,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","30,500",3
Swinburne University of Technology,Data Analytics,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","29,500",3
University of Southern Queensland,Sports Management,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","30,000",3
University of Tasmania,Law,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","29,500",3
University of Canberra,Business Administration,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,500",3
Western Sydney University,Environmental Studies,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Sydney,Mechanical Engineering,B.Eng.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Queensland,Nursing,Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","32,000",3
Monash University,Computer Science,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Melbourne,Biomedical Science,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","34,000",3
Griffith University,Law,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Anthropology,B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","29,500",3
RMIT University,Business,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Technology Sydney,Environmental Science,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Adelaide,Public Health,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","29,000",3
La Trobe University,Digital Marketing,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
University of Western Australia,Physics,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","29,500",3
Victoria University,Marketing,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
Bond University,Film Studies,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","33,500",3
University of Newcastle,Marine Biology,B.Sc.,Full-time,On Campus,"Newcastle, New South Wales, Australia","34,500",3
Swinburne University of Technology,Creative Arts,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","29,500",3
University of Southern Queensland,Sports Science,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","30,000",3
University of Tasmania,Economics,B.A.,Full-time,On Campus,"Hobart, Tasmania, Australia","28,500",3
University of Canberra,Human Resource Management,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,500",3
Western Sydney University,Construction Management,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
